genus,species,species authority,new to this study,sample name,voucher,country,notes,
Centropogon,granulosus,C. Presl,TRUE,Centro_granulosus_A380_Lago942,,,,
Centropogon,incanus,(Britton) Zahlbr.,TRUE,Centro_incanus_A1_Lago423_L4,,,,
Centropogon,leucophyllus,Gleason,TRUE,Centro_sp_A377_Lago939,,,,
Centropogon,leucophyllus var. Minimus,(McVaugh) E.Wimm.,TRUE,Centro_sp_A426_Lago940,,,,
Centropogon,mandonis,Zahlbr.,TRUE,Centro_mandonis_A12_Lago193_L4,,,,
Centropogon,mandonis,Zahlbr.,TRUE,Centro_mandonis_A180_Lagosn_L2,,,,
Centropogon,nervosus,E.Wimm. ex Gleason,TRUE,Centro_nervosus_A181_Lago412_L2,,,,
Centropogon,palmanus,(Donn. Sm.) E. Wimm.,TRUE,Centro_palmanus_LL193_L1,,,,
Centropogon,palmanus,(Donn. Sm.) E. Wimm.,TRUE,Centro_palmanus_A50_Lago193_L4,,,,
Centropogon,peruvianus,(E.Wimm.) McVaugh,TRUE,Centro_peruvianus_A182_Lago386_L2,,,,
Centropogon,foetidus,(Willd. ex Kunth) E.Wimm.,TRUE,Centro_rex_A367_Lago806,,,,
Centropogon,smithii,E. Wimm.,TRUE,Centro_smithii_A184_Lago281_L2,,,,
Centropogon,solanifolius,Benth.,TRUE,Centro_solanifolius_A185_Lago284_L2,,,,
Centropogon,solanifolius,Benth.,TRUE,Centro_solanifolius_A403_Lago941,,,,
Centropogon,sp. 3,C. Presl,TRUE,Centro_sp_A425_Lago710,,,,
Centropogon,sp. 4,C. Presl,TRUE,Centro_sp_A428_Lago874,,,,
Centropogon,sp. 5,C. Presl,TRUE,Centro_sp_A435_Lago746,,,,
Centropogon,valerii,Standl.,TRUE,Centro_valerii_A186_Lago177_L2,,,,
Centropogon,vargasii,B. A. Stein,TRUE,Centro_vargasii_A187_Lago356_L2,,,,
Centropogon,weberbaueri,Zahlbr.,TRUE,Centro_weberbaueri_A197_Lago328_L2,,,,
Centropogon,yarumalensis,E. Wimm.,TRUE,Centro_yarumalensis_A404_Lago944,,,,
Siphocampylus,andinus,Britton,TRUE,Siph_andinus_A16_Lago226_L4,,,,
Siphocampylus,angustiflorus,Schltr. & Zahlbr.,TRUE,Siph_angustiflorus_A202_Lago417_L2,,,,
Siphocampylus,bogotensis,E. Wimm.,TRUE,Centro_bogotensis_A365_Lago784,,,,
